source,target,edge_type,gang_id,active_from,active_to,fragment_event_date
OFF00315,OFF00541,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00315,OFF00003,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00315,OFF00565,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00315,OFF00544,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00541,OFF00003,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00541,OFF00565,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00541,OFF00544,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00003,OFF00565,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00003,OFF00544,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00565,OFF00544,co_offending,GANG001,2023-01-19,2023-05-24,
OFF00135,OFF00159,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00135,OFF00088,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00135,OFF00312,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00135,OFF00455,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00135,OFF00385,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00135,OFF00169,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00135,OFF00635,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00159,OFF00088,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00159,OFF00312,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00159,OFF00455,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00159,OFF00385,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00159,OFF00169,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00159,OFF00635,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00088,OFF00312,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00088,OFF00455,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00088,OFF00385,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00088,OFF00169,co_offending,GANG002,2025-01-28,2025-06-01,
