station_id,week_start,case_count,avg_severity,avg_response_time_min
PS0001,2022-12-26,1,1.0,72.1
PS0001,2023-01-02,1,1.0,37.4
PS0001,2023-01-16,3,2.6666666666666665,37.5
PS0001,2023-01-23,2,3.0,39.2
PS0001,2023-02-06,1,3.0,39.4
PS0001,2023-02-13,4,2.5,45.0
PS0001,2023-02-20,4,2.25,34.5
PS0001,2023-02-27,4,2.75,23.8
PS0001,2023-03-06,4,2.5,25.9
PS0001,2023-03-13,3,2.3333333333333335,36.5
PS0001,2023-03-20,5,2.6,38.5
PS0001,2023-03-27,3,1.3333333333333333,44.4
PS0001,2023-04-03,2,2.5,63.2
PS0001,2023-04-10,4,2.75,11.9
PS0001,2023-04-17,4,3.0,42.0
PS0001,2023-04-24,3,2.0,27.4
PS0001,2023-05-01,2,4.5,34.5
PS0001,2023-05-08,3,3.0,50.0
PS0001,2023-05-15,1,3.0,44.2
PS0001,2023-05-22,3,1.3333333333333333,29.1
PS0001,2023-05-29,7,2.142857142857143,37.1
PS0001,2023-06-05,3,2.3333333333333335,29.9
PS0001,2023-06-12,5,2.2,34.2
PS0001,2023-06-19,6,2.0,52.1
PS0001,2023-06-26,5,2.0,35.3
PS0001,2023-07-17,3,2.0,22.9
PS0001,2023-07-31,4,2.0,25.4
PS0001,2023-08-07,5,3.0,30.3
PS0001,2023-08-21,3,3.0,35.4
PS0001,2023-09-04,2,1.5,47.8
PS0001,2023-09-11,2,2.0,36.9
PS0001,2023-09-18,1,3.0,16.5
PS0001,2023-09-25,2,1.5,40.9
PS0001,2023-10-02,2,2.5,48.3
PS0001,2023-10-09,3,2.0,30.0
PS0001,2023-10-16,1,2.0,41.4
PS0001,2023-10-23,10,2.5,44.8
PS0001,2023-10-30,4,3.0,32.3
PS0001,2023-11-06,1,2.0,29.3
PS0001,2023-11-13,6,2.3333333333333335,38.4
PS0001,2023-11-20,3,2.3333333333333335,29.1
PS0001,2023-11-27,8,2.0,25.9
PS0001,2023-12-04,4,2.5,32.9
PS0001,2023-12-11,4,1.25,34.6
PS0001,2023-12-18,3,2.3333333333333335,39.4
PS0001,2023-12-25,3,3.6666666666666665,53.0
PS0001,2024-01-01,2,3.0,33.3
PS0001,2024-01-08,6,2.5,22.1
PS0001,2024-01-15,1,4.0,31.4
PS0001,2024-01-22,4,1.5,45.8
PS0001,2024-02-05,3,2.0,58.9
PS0001,2024-02-12,2,2.0,38.6
PS0001,2024-02-19,6,1.8333333333333333,32.7
PS0001,2024-02-26,4,2.25,50.8
PS0001,2024-03-04,4,2.5,50.0
PS0001,2024-03-11,4,2.5,28.7
PS0001,2024-03-18,1,1.0,46.8
PS0001,2024-03-25,3,2.6666666666666665,29.2
PS0001,2024-04-01,1,2.0,61.7
PS0001,2024-04-08,4,3.25,24.7
PS0001,2024-04-15,4,3.25,46.9
PS0001,2024-04-29,2,2.0,27.6
PS0001,2024-05-06,7,2.7142857142857144,28.3
PS0001,2024-05-13,8,2.25,46.4
PS0001,2024-05-20,4,2.0,27.5
PS0001,2024-05-27,4,3.0,24.7
PS0001,2024-06-10,1,3.0,25.4
PS0001,2024-06-17,2,3.5,35.6
PS0001,2024-06-24,4,2.75,43.8
PS0001,2024-07-01,5,2.0,12.3
PS0001,2024-07-08,6,3.0,43.7
PS0001,2024-07-15,2,3.5,28.3
PS0001,2024-07-22,1,1.0,48.7
PS0001,2024-07-29,3,3.3333333333333335,41.0
PS0001,2024-08-05,2,2.5,29.7
PS0001,2024-08-12,1,1.0,43.1
PS0001,2024-08-19,4,2.25,37.9
PS0001,2024-08-26,3,2.6666666666666665,43.0
PS0001,2024-09-02,3,3.3333333333333335,62.9
PS0001,2024-09-09,1,3.0,54.7
PS0001,2024-09-16,2,2.5,56.1
PS0001,2024-09-23,1,4.0,13.3
PS0001,2024-09-30,2,3.5,32.5
PS0001,2024-10-07,3,3.0,42.4
PS0001,2024-10-14,9,3.2222222222222223,31.4
PS0001,2024-10-21,3,4.0,46.9
PS0001,2024-10-28,8,2.5,41.0
PS0001,2024-11-04,6,1.6666666666666667,8.0
PS0001,2024-11-11,2,3.0,26.8
PS0001,2024-11-18,3,1.6666666666666667,45.9
PS0001,2024-11-25,6,2.0,37.3
PS0001,2024-12-02,3,2.3333333333333335,37.9
PS0001,2024-12-09,5,2.6,34.5
PS0001,2024-12-16,2,1.5,16.1
PS0001,2024-12-23,4,2.25,22.7
PS0001,2024-12-30,3,1.6666666666666667,30.6
PS0001,2025-01-06,3,3.3333333333333335,36.3
PS0001,2025-01-13,3,2.3333333333333335,23.1
PS0001,2025-01-20,6,2.8333333333333335,52.8
PS0001,2025-01-27,1,4.0,35.0
PS0001,2025-02-03,2,2.5,8.0
PS0001,2025-02-10,2,1.5,38.8
PS0001,2025-02-17,5,3.2,35.0
PS0001,2025-02-24,2,2.5,37.2
PS0001,2025-03-03,5,2.2,22.2
PS0001,2025-03-10,4,2.0,32.7
PS0001,2025-03-17,1,3.0,29.9
PS0001,2025-03-24,1,2.0,60.2
PS0001,2025-03-31,3,1.6666666666666667,43.5
PS0001,2025-04-07,2,4.0,44.8
PS0001,2025-04-14,1,3.0,31.6
PS0001,2025-04-21,1,4.0,46.2
PS0001,2025-04-28,2,1.5,48.6
PS0001,2025-05-05,3,2.0,37.1
PS0001,2025-05-12,1,2.0,31.1
PS0001,2025-05-19,2,4.0,23.3
PS0001,2025-05-26,2,2.0,61.7
PS0001,2025-06-02,2,2.5,55.7
PS0001,2025-06-09,2,2.5,23.6
PS0001,2025-06-16,3,2.0,8.8
PS0001,2025-06-23,2,1.5,19.0
PS0001,2025-06-30,4,2.25,21.3
PS0001,2025-07-07,1,3.0,34.6
PS0001,2025-07-14,2,3.0,42.3
PS0001,2025-07-21,2,2.0,68.9
PS0001,2025-07-28,5,3.2,45.3
PS0001,2025-08-04,3,3.6666666666666665,42.8
PS0001,2025-08-11,4,1.5,20.5
PS0001,2025-08-18,2,2.0,42.6
PS0001,2025-08-25,3,1.6666666666666667,35.0
PS0001,2025-09-01,4,4.0,34.4
PS0001,2025-09-08,2,4.0,20.9
PS0001,2025-09-15,4,2.5,38.1
PS0001,2025-09-22,1,2.0,66.7
PS0001,2025-09-29,8,2.75,29.2
PS0001,2025-10-06,4,3.5,31.2
PS0001,2025-10-13,5,2.4,55.2
PS0001,2025-10-20,4,2.0,44.1
PS0001,2025-10-27,2,1.0,44.7
PS0001,2025-11-03,2,3.5,8.0
PS0001,2025-11-10,6,2.5,34.7
PS0001,2025-11-17,3,1.3333333333333333,33.8
PS0001,2025-11-24,6,2.8333333333333335,53.3
PS0001,2025-12-01,4,2.75,30.5
PS0001,2025-12-08,2,1.5,54.3
PS0001,2025-12-15,4,2.25,32.2
PS0001,2025-12-22,1,1.0,46.9
PS0001,2025-12-29,1,2.0,33.2
PS0002,2023-01-02,1,3.0,51.9
PS0002,2023-01-09,2,4.0,31.0
PS0002,2023-01-16,3,3.0,35.8
PS0002,2023-01-23,3,1.3333333333333333,33.9
PS0002,2023-01-30,3,2.3333333333333335,35.7
PS0002,2023-02-06,1,2.0,54.8
PS0002,2023-02-13,3,2.0,43.4
PS0002,2023-02-20,3,3.0,39.8
PS0002,2023-02-27,1,3.0,33.5
PS0002,2023-03-06,2,1.0,25.5
PS0002,2023-03-13,1,3.0,40.7
PS0002,2023-03-20,1,2.0,35.9
PS0002,2023-03-27,7,2.7142857142857144,42.5
PS0002,2023-04-10,1,3.0,37.2
PS0002,2023-04-24,2,1.5,32.6
PS0002,2023-05-01,1,5.0,35.3
PS0002,2023-05-08,1,2.0,58.2
PS0002,2023-05-15,2,1.5,28.6
PS0002,2023-05-22,4,2.5,58.6
PS0002,2023-05-29,2,2.5,48.8
PS0002,2023-06-05,1,3.0,43.2
PS0002,2023-06-12,8,2.625,35.7
PS0002,2023-06-19,3,3.0,36.1
PS0002,2023-06-26,3,3.0,10.2
PS0002,2023-07-03,1,3.0,31.1
PS0002,2023-07-10,3,4.0,50.4
PS0002,2023-07-17,4,2.25,31.0
PS0002,2023-07-24,3,2.3333333333333335,38.1
PS0002,2023-07-31,2,3.5,36.4
PS0002,2023-08-07,2,2.5,35.9
PS0002,2023-08-14,3,2.3333333333333335,23.1
PS0002,2023-08-21,1,1.0,41.7
PS0002,2023-08-28,6,2.3333333333333335,33.6
PS0002,2023-09-04,5,2.6,23.2
PS0002,2023-09-11,1,1.0,21.6
PS0002,2023-09-18,1,2.0,50.7
PS0002,2023-09-25,1,2.0,52.3
PS0002,2023-10-02,5,1.8,32.4
PS0002,2023-10-09,6,2.6666666666666665,24.1
PS0002,2023-10-16,3,2.6666666666666665,50.1
PS0002,2023-10-23,4,2.75,49.6
PS0002,2023-10-30,4,2.5,43.1
PS0002,2023-11-06,6,1.6666666666666667,40.5
PS0002,2023-11-13,7,2.4285714285714284,24.9
PS0002,2023-11-20,1,1.0,40.5
PS0002,2023-11-27,3,1.0,8.0
PS0002,2023-12-04,5,2.4,36.6
PS0002,2023-12-11,4,2.25,52.3
PS0002,2023-12-18,3,2.6666666666666665,58.6
PS0002,2023-12-25,2,1.0,46.7
PS0002,2024-01-01,1,3.0,34.3
PS0002,2024-01-08,6,1.6666666666666667,41.3
PS0002,2024-01-15,3,3.6666666666666665,35.6
PS0002,2024-01-22,3,3.0,50.6
PS0002,2024-01-29,3,2.6666666666666665,45.9
PS0002,2024-02-05,3,2.6666666666666665,24.5
PS0002,2024-02-12,3,1.3333333333333333,28.6
PS0002,2024-02-19,3,1.3333333333333333,49.0
PS0002,2024-02-26,3,3.3333333333333335,27.9
PS0002,2024-03-04,5,2.8,11.3
PS0002,2024-03-11,1,2.0,33.7
PS0002,2024-03-18,6,2.8333333333333335,49.9
PS0002,2024-03-25,1,1.0,29.9
PS0002,2024-04-01,3,4.666666666666667,48.8
PS0002,2024-04-08,3,3.0,12.2
PS0002,2024-04-15,10,2.5,30.7
PS0002,2024-04-22,4,2.75,29.5
PS0002,2024-04-29,2,3.0,47.2
PS0002,2024-05-06,2,1.5,24.9
PS0002,2024-05-20,3,2.6666666666666665,53.4
PS0002,2024-05-27,6,3.5,53.6
PS0002,2024-06-03,4,2.75,65.7
PS0002,2024-06-10,1,1.0,25.0
PS0002,2024-06-17,3,3.0,28.9
PS0002,2024-06-24,1,2.0,63.7
PS0002,2024-07-01,4,2.5,61.6
PS0002,2024-07-08,3,2.3333333333333335,45.8
PS0002,2024-07-15,7,2.0,44.3
PS0002,2024-07-22,4,2.5,39.5
PS0002,2024-07-29,3,2.6666666666666665,59.5
PS0002,2024-08-05,2,2.0,29.6
PS0002,2024-08-12,2,2.5,45.4
PS0002,2024-08-19,2,2.5,38.4
PS0002,2024-08-26,3,2.3333333333333335,33.3
PS0002,2024-09-02,3,2.0,25.1
PS0002,2024-09-09,3,1.6666666666666667,27.1
PS0002,2024-09-16,5,1.8,23.8
PS0002,2024-09-23,1,1.0,41.2
PS0002,2024-09-30,1,3.0,28.7
PS0002,2024-10-07,6,2.0,33.1
PS0002,2024-10-14,6,2.5,48.0
PS0002,2024-10-21,3,2.6666666666666665,34.9
PS0002,2024-10-28,4,3.25,36.6
PS0002,2024-11-04,6,3.0,34.4
PS0002,2024-11-11,5,2.2,47.5
PS0002,2024-11-18,1,4.0,64.7
PS0002,2024-11-25,4,2.0,36.8
PS0002,2024-12-02,4,3.75,19.6
PS0002,2024-12-09,4,3.25,17.9
PS0002,2024-12-16,5,4.0,49.2
PS0002,2024-12-23,2,2.0,54.2
PS0002,2024-12-30,3,2.6666666666666665,44.1
PS0002,2025-01-06,2,3.0,35.3
PS0002,2025-01-13,1,2.0,56.3
PS0002,2025-01-20,4,4.25,29.6
PS0002,2025-01-27,1,1.0,48.3
PS0002,2025-02-03,2,1.5,8.0
PS0002,2025-02-10,5,1.8,49.7
PS0002,2025-02-17,3,1.3333333333333333,14.8
PS0002,2025-02-24,1,2.0,8.0
PS0002,2025-03-03,1,3.0,39.2
PS0002,2025-03-10,8,2.5,47.2
PS0002,2025-03-17,4,2.25,12.7
PS0002,2025-03-24,4,3.5,25.9
PS0002,2025-03-31,5,2.8,41.3
PS0002,2025-04-07,4,2.5,40.8
PS0002,2025-04-14,1,2.0,33.6
PS0002,2025-04-21,3,2.3333333333333335,46.0
PS0002,2025-04-28,2,4.0,30.2
PS0002,2025-05-05,4,2.75,47.2
PS0002,2025-05-12,5,2.2,29.3
PS0002,2025-05-19,4,3.0,25.7
PS0002,2025-05-26,4,1.75,37.1
PS0002,2025-06-02,1,2.0,48.4
PS0002,2025-06-09,3,3.6666666666666665,13.3
PS0002,2025-06-16,1,1.0,50.4
PS0002,2025-06-23,1,4.0,34.4
PS0002,2025-06-30,1,5.0,17.2
PS0002,2025-07-07,4,2.75,32.6
PS0002,2025-07-21,2,2.0,35.1
PS0002,2025-07-28,3,3.0,24.1
PS0002,2025-08-04,4,2.5,60.1
PS0002,2025-08-11,6,2.1666666666666665,38.1
PS0002,2025-08-18,4,2.25,25.5
PS0002,2025-08-25,2,1.5,13.6
PS0002,2025-09-08,1,2.0,54.1
PS0002,2025-09-15,3,1.6666666666666667,38.4
PS0002,2025-09-22,3,1.6666666666666667,31.3
PS0002,2025-09-29,4,2.25,39.6
PS0002,2025-10-06,2,2.0,27.1
PS0002,2025-10-13,3,3.0,57.9
PS0002,2025-10-20,1,2.0,45.7
PS0002,2025-10-27,3,2.0,51.8
PS0002,2025-11-03,5,3.0,30.4
PS0002,2025-11-10,4,1.0,29.1
PS0002,2025-11-17,4,1.75,44.8
PS0002,2025-11-24,5,2.4,41.6
PS0002,2025-12-01,3,3.3333333333333335,43.8
PS0002,2025-12-08,6,1.1666666666666667,41.1
PS0002,2025-12-15,3,3.6666666666666665,28.8
PS0002,2025-12-22,3,2.0,23.6
PS0002,2025-12-29,1,3.0,24.3
PS0003,2023-01-02,3,1.6666666666666667,34.6
PS0003,2023-01-09,3,2.0,36.5
PS0003,2023-01-16,2,3.0,53.3
PS0003,2023-01-23,3,2.6666666666666665,41.5
PS0003,2023-01-30,2,3.0,45.8
PS0003,2023-02-06,1,1.0,32.5
PS0003,2023-02-13,1,5.0,48.4
PS0003,2023-02-20,4,2.25,24.2
PS0003,2023-02-27,1,1.0,44.0
PS0003,2023-03-06,3,2.3333333333333335,50.1
PS0003,2023-03-13,1,3.0,26.8
PS0003,2023-03-20,3,2.0,33.7
PS0003,2023-03-27,2,4.0,32.0
PS0003,2023-04-03,3,3.3333333333333335,32.7
PS0003,2023-04-10,2,1.5,43.0
PS0003,2023-04-17,4,2.75,33.2
PS0003,2023-04-24,4,2.0,44.3
PS0003,2023-05-01,3,3.3333333333333335,49.4
PS0003,2023-05-08,1,2.0,14.8
PS0003,2023-05-15,5,1.6,36.4
PS0003,2023-05-22,4,2.25,36.2
PS0003,2023-05-29,6,2.1666666666666665,23.2
PS0003,2023-06-05,1,3.0,41.6
PS0003,2023-06-12,3,2.0,22.6
PS0003,2023-06-19,4,1.25,39.6
PS0003,2023-06-26,4,2.75,34.6
PS0003,2023-07-17,4,2.5,36.7
PS0003,2023-07-24,2,4.5,44.0
PS0003,2023-07-31,3,3.3333333333333335,20.3
PS0003,2023-08-07,11,2.272727272727273,27.3
PS0003,2023-08-14,2,3.0,38.5
PS0003,2023-08-21,2,1.5,58.7
PS0003,2023-08-28,4,2.25,24.1
PS0003,2023-09-04,1,4.0,42.8
PS0003,2023-09-18,4,1.5,39.8
PS0003,2023-09-25,4,1.75,26.6
PS0003,2023-10-02,3,2.6666666666666665,66.3
PS0003,2023-10-09,6,2.1666666666666665,32.3
PS0003,2023-10-16,3,3.0,72.4
PS0003,2023-10-30,3,2.6666666666666665,49.8
PS0003,2023-11-06,3,2.3333333333333335,50.8
PS0003,2023-11-13,4,1.75,34.5
PS0003,2023-11-20,3,2.0,61.7
PS0003,2023-11-27,5,4.0,43.8
PS0003,2023-12-04,3,3.3333333333333335,44.1
PS0003,2023-12-11,3,2.6666666666666665,24.1
PS0003,2023-12-18,1,2.0,28.9
PS0003,2023-12-25,4,3.0,28.0
PS0003,2024-01-01,1,3.0,31.6
PS0003,2024-01-08,2,2.0,32.7
PS0003,2024-01-15,2,2.0,17.6
PS0003,2024-01-22,3,2.6666666666666665,34.8
PS0003,2024-01-29,4,1.75,46.3
PS0003,2024-02-05,1,2.0,37.9
PS0003,2024-02-12,3,3.3333333333333335,17.7
PS0003,2024-02-19,2,2.5,27.2
PS0003,2024-02-26,1,2.0,45.7
PS0003,2024-03-04,5,3.0,30.3
PS0003,2024-03-11,4,2.25,38.2
PS0003,2024-03-18,3,1.6666666666666667,8.0
PS0003,2024-03-25,7,3.4285714285714284,26.7
PS0003,2024-04-01,4,1.75,50.8
PS0003,2024-04-08,2,2.0,53.4
PS0003,2024-04-15,6,2.3333333333333335,35.4
PS0003,2024-04-22,4,2.5,30.7
PS0003,2024-04-29,4,2.75,36.4
PS0003,2024-05-06,8,2.5,34.4
PS0003,2024-05-20,4,2.75,36.5
PS0003,2024-06-03,2,2.0,49.2
PS0003,2024-06-10,4,1.25,49.9
PS0003,2024-06-17,3,3.3333333333333335,54.4
PS0003,2024-07-01,2,1.5,78.3
PS0003,2024-07-15,3,1.6666666666666667,75.7
PS0003,2024-07-22,5,3.0,21.3
PS0003,2024-07-29,1,1.0,18.7
PS0003,2024-08-05,7,2.0,23.4
PS0003,2024-08-12,5,3.0,30.7
PS0003,2024-08-19,4,3.0,29.5
PS0003,2024-08-26,2,3.0,19.4
PS0003,2024-09-02,4,2.75,42.0
PS0003,2024-09-09,5,1.4,34.7
PS0003,2024-09-23,4,2.25,37.2
PS0003,2024-10-07,3,2.3333333333333335,27.3
PS0003,2024-10-14,5,3.2,27.8
PS0003,2024-10-21,5,3.2,38.1
PS0003,2024-10-28,3,2.3333333333333335,22.6
PS0003,2024-11-04,7,2.5714285714285716,43.8
PS0003,2024-11-11,7,3.142857142857143,22.6
PS0003,2024-11-18,4,2.0,59.0
PS0003,2024-11-25,4,1.5,55.9
PS0003,2024-12-02,2,4.0,41.6
PS0003,2024-12-09,1,3.0,30.0
PS0003,2024-12-16,4,1.75,41.0
PS0003,2024-12-30,3,3.0,51.8
PS0003,2025-01-06,4,2.75,33.4
PS0003,2025-01-20,1,3.0,25.6
PS0003,2025-01-27,1,4.0,23.9
PS0003,2025-02-03,6,1.5,39.9
PS0003,2025-02-10,4,1.75,53.0
PS0003,2025-02-17,4,3.0,39.3
PS0003,2025-02-24,1,2.0,37.1
PS0003,2025-03-03,3,2.3333333333333335,31.0
PS0003,2025-03-10,2,2.0,52.9
PS0003,2025-03-17,6,3.0,58.8
